,english,japanese,good,view,url,count,sentence
36870,the,「あの●●が」と強調するときの「あの」,3,424.0,https://eikaiwa.dmm.com/uknow/questions/51678/,774331,False
1448,you,あなたたち,62,26678.0,https://eikaiwa.dmm.com/uknow/questions/38180/,707545,False
31991,to,見出しに入れる対象,0,660.0,https://eikaiwa.dmm.com/uknow/questions/17619/,573357,False
590,and,そして,50,46067.0,https://eikaiwa.dmm.com/uknow/questions/44768/,346582,False
35612,that,あのスピルバーグが認めた新人監督,2,481.0,https://eikaiwa.dmm.com/uknow/questions/30946/,244001,False
4986,have,飼う,14,10060.0,https://eikaiwa.dmm.com/uknow/questions/44763/,189163,False
3089,what,あれ,47,15247.0,https://eikaiwa.dmm.com/uknow/questions/6669/,167253,False
25828,for,～のわりには、,6,1064.0,https://eikaiwa.dmm.com/uknow/questions/49770/,149890,False
13009,will,遺言,9,3350.0,https://eikaiwa.dmm.com/uknow/questions/11345/,134525,False
9130,can,缶,7,5278.0,https://eikaiwa.dmm.com/uknow/questions/44572/,120744,False
22127,so,で,22,1429.0,https://eikaiwa.dmm.com/uknow/questions/50563/,113349,False
33544,no,まだだよ,4,580.0,https://eikaiwa.dmm.com/uknow/questions/60809/,93044,False
24912,just,〜してしまえ ,5,1146.0,https://eikaiwa.dmm.com/uknow/questions/39572/,91947,False
35751,they,彼らは,0,474.0,https://eikaiwa.dmm.com/uknow/questions/59130/,90802,False
9511,all,全て,7,5024.0,https://eikaiwa.dmm.com/uknow/questions/34285/,87379,False
13188,if,したら,1,3286.0,https://eikaiwa.dmm.com/uknow/questions/59132/,85964,False
27377,like,のようだ,3,944.0,https://eikaiwa.dmm.com/uknow/questions/20410/,83831,False
11749,about,だいたい,3,3854.0,https://eikaiwa.dmm.com/uknow/questions/38731/,79954,False
19036,how,どうやって,4,1857.0,https://eikaiwa.dmm.com/uknow/questions/48135/,56362,False
10795,there,そこで,5,4293.0,https://eikaiwa.dmm.com/uknow/questions/33930/,54580,False
15236,out,外出,2,2665.0,https://eikaiwa.dmm.com/uknow/questions/47546/,53724,False
6785,go,囲碁,22,7382.0,https://eikaiwa.dmm.com/uknow/questions/8636/,53543,False
29930,when,いつ,0,775.0,https://eikaiwa.dmm.com/uknow/questions/53271/,48868,False
28490,got,掴む,4,866.0,https://eikaiwa.dmm.com/uknow/questions/55001/,48171,False
10508,up,上,13,4453.0,https://eikaiwa.dmm.com/uknow/questions/34605/,47446,False
749,well,うーん,25,39817.0,https://eikaiwa.dmm.com/uknow/questions/41676/,46662,False
8440,right,でしょ と ですね,16,5797.0,https://eikaiwa.dmm.com/uknow/questions/45454/,44673,False
8342,now,さて,7,5876.0,https://eikaiwa.dmm.com/uknow/questions/50738/,44309,False
1839,see,やっぱり,51,22290.0,https://eikaiwa.dmm.com/uknow/questions/19937/,44039,False
12817,oh,なーんだ,5,3425.0,https://eikaiwa.dmm.com/uknow/questions/27558/,40959,False
13203,or,もしくは,3,3279.0,https://eikaiwa.dmm.com/uknow/questions/55858/,39973,False
